# Subsystem SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link 
1 0 0 0 1 3 np04-srv-028 0 0 0
1 1 1 0 1 3 np04-srv-028 0 0 1
1 2 0 1 1 3 np04-srv-028 0 0 2
1 3 1 1 1 3 np04-srv-028 0 0 3
1 4 0 2 1 3 np04-srv-028 0 0 4
1 5 1 2 1 3 np04-srv-028 0 1 0
1 6 0 3 1 3 np04-srv-028 0 1 1
1 7 1 3 1 3 np04-srv-028 0 1 2
1 8 0 4 1 3 np04-srv-028 0 1 3
1 9 1 4 1 3 np04-srv-028 0 1 4
1 10 0 0 2 3 np04-srv-028 1 0 0
1 11 1 0 2 3 np04-srv-028 1 0 1
1 12 0 1 2 3 np04-srv-028 1 0 2
1 13 1 1 2 3 np04-srv-028 1 0 3
1 14 0 2 2 3 np04-srv-028 1 0 4
1 15 1 2 2 3 np04-srv-028 1 1 0
1 16 0 3 2 3 np04-srv-028 1 1 1
1 17 1 3 2 3 np04-srv-028 1 1 2
1 18 0 4 2 3 np04-srv-028 1 1 3
1 19 1 4 2 3 np04-srv-028 1 1 4
1 20 0 0 3 3 np04-srv-026 0 0 0
1 21 1 0 3 3 np04-srv-026 0 0 1
1 22 0 1 3 3 np04-srv-026 0 0 2
1 23 1 1 3 3 np04-srv-026 0 0 3
1 24 0 2 3 3 np04-srv-026 0 0 4
1 25 1 2 3 3 np04-srv-026 0 1 0
1 26 0 3 3 3 np04-srv-026 0 1 1
1 27 1 3 3 3 np04-srv-026 0 1 2
1 28 0 4 3 3 np04-srv-026 0 1 3
1 29 1 4 3 3 np04-srv-026 0 1 4
1 30 0 0 4 3 np04-srv-026 1 0 0
1 31 1 0 4 3 np04-srv-026 1 0 1
1 32 0 1 4 3 np04-srv-026 1 0 2
1 33 1 1 4 3 np04-srv-026 1 0 3
1 34 0 2 4 3 np04-srv-026 1 0 4
1 35 1 2 4 3 np04-srv-026 1 1 0
1 36 0 3 4 3 np04-srv-026 1 1 1
1 37 1 3 4 3 np04-srv-026 1 1 2
1 38 0 4 4 3 np04-srv-026 1 1 3
1 39 1 4 4 3 np04-srv-026 1 1 4
1 50 0 0 6 3 np04-srv-030 0 0 0
1 51 1 0 6 3 np04-srv-030 0 0 1
1 52 0 1 6 3 np04-srv-030 0 0 2
1 53 1 1 6 3 np04-srv-030 0 0 3
1 54 0 2 6 3 np04-srv-030 0 0 4
1 55 1 2 6 3 np04-srv-030 0 0 0
1 56 0 3 6 3 np04-srv-030 0 1 1
1 57 1 3 6 3 np04-srv-030 0 1 2
1 58 0 4 6 3 np04-srv-030 0 1 3
1 59 1 4 6 3 np04-srv-030 0 1 4
